action,licenseType,premiumLevel,assetType,partnerAssetId,contributorId,sourceContentId,width,height,headline,keywords,uri,rating,preview,moderation
create,commercial,3,video,200973554-12072881-01-03,200973554,12072881,1920,1080,Loop of Beach Sunset,"fisheye,sunset,sundown,red,blue,sky,landscape,pacific,ocean,sea,waves,water,ripples,breakers,surf,peaceful,tranquil,nature,clean,coast,currents,tide,lapping,shoreline,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-12072881-01-03.mp4,4,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/12072881/loop-03-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/560/3/fade
create,commercial,3,video,200973554-12074434-01-03,200973554,12074434,1920,1080,Loop of Beach Sunset,"sand,waves,sea,shoreline,holiday,vacation,travel,breakers,beach,pleasure,enjoyment,clear,water,sunset,wooden,pier,tranquil,landscape,silhouette,pacific,coast,ocean,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-12074434-01-03.mp4,3,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/12074434/loop-03-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/561/3/fade
create,commercial,3,video,200973554-12075653-01-01,200973554,12075653,1920,1080,Loop of Beach Sunset,"fisheye,sand,waves,sea,shoreline,holiday,vacation,travel,breakers,beach,pleasure,enjoyment,clear,water,sunset,lifeguard,hut,station,tranquil,landscape,silhouette,pacific,coast,ocean,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-12075653-01-01.mp4,3,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/12075653/loop-01.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/562/1/base
create,commercial,3,video,200973554-15390575-01-01,200973554,15390575,1920,1080,Loop of Time-Lapse Clouds Over Nordic Fjords,"pure,air,environmental,panoramic,scenic,beauty,clear,deep,water,mirror,reflections,pristine,mountains,snow,glacier,fjord,travel,destination,no people,time-lapse,clouds,blue,sky,spectacular,dramatic,silent,calm,natural,tranquil,enriching,inspiring,ambition,norway,adventure,remote,homes,houses,habitation,living,beside,views,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-15390575-01-01.mp4,3,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/15390575/loop-01-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/565/1/fade
create,commercial,3,video,200973554-15409532-01-02,200973554,15409532,1920,1080,Loop of Nordic Fjords,"pure,air,environmental,panoramic,scenic,beauty,clear,deep,water,mirror,reflections,pristine,mountains,snow,glacier,fjord,no people,spectacular,dramatic,silent,calm,natural,tranquil,norway,time-lapse,clouds,traffic,contrast,hillside,community,houses,habitation,living,working,oil,refinery,smoke,pollution,power,energy,production,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-15409532-01-02.mp4,4,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/15409532/loop-02-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/566/2/fade
create,commercial,3,video,200973554-15714610-01-03,200973554,15714610,1920,1080,Loop of Glass of Water with Alkaseltzer,"aspirin,hangover,bubble wand,water,healthy lifestyle,drink,antacid,alcohol,cold,bubble,healthcare and medicine,refreshment,headache,medicine,healthy eating,herbal medicine,liquid,nature,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-15714610-01-03.mp4,3,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/15714610/loop-03-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/567/3/fade
create,commercial,3,video,200973554-15715222-01-01,200973554,15715222,1920,1080,Loop of Fizzing Alkaseltzer in Glass of Water,"aspirin,hangover,bubble wand,water,healthy lifestyle,drink,antacid,alcohol,cold,bubble,healthcare and medicine,refreshment,headache,medicine,healthy eating,herbal medicine,liquid,nature,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-15715222-01-01.mp4,4,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/15715222/loop-01.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/568/1/base
create,commercial,3,video,200973554-16138998-01-01,200973554,16138998,1920,1080,Loop of Melting Polar Icecap,"climate,changes,environmental,polar,ice cap,melting,lake,water,global,warming,sea,level,rising,temperatures,ice,glaciers,icebergs,ozone,layer,carbon,footprint,manmade,weather,conditions,pollution,damage,danger,changing,geographic,landscape,protection,education,understanding,future,generations,iceland,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-16138998-01-01.mp4,5,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/16138998/loop-01-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/573/1/fade
create,commercial,3,video,200973554-16149400-01-01,200973554,16149400,1920,1080,Loop of Melting Polar Icecap,"jokulsarlon,glacier,moving,climate,changes,environmental,polar,melting,lake,water,global,warming,sea,level,rising,temperatures,ozone,layer,carbon,footprint,manmade,weather,pollution,damage,changing,geographic,landscape,protection,education,future,generations,iceland,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-16149400-01-01.mp4,3,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/16149400/loop-01-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/574/1/fade
create,commercial,3,video,200973554-16175010-01-01,200973554,16175010,1920,1080,Loop of T/Lapse Vatnajokull Glacier,"vatnajokull,glacier,solid,ice,field,mountains,largest,europe,travel,destination,eco-tourism,visitors,vacation,harsh,barren,landscape,iceland,global,warming,changing,geographical,shrinking,time-lapse,clouds,loop,looped,looping,ASVL1",https://s3.amazonaws.com/stockcontent-asset-drop/loopingvideo/200973554-16175010-01-01.mp4,4,http://artisticeye.corp.adobe.com/LoopWelder/Stock-Lightrooms/DIS/16175010/loop-01-fade.mp4,http://arg.corp.adobe.com/LoopWelder/app/#/experiment/575/1/fade
